,EU_SI_ME_PC,DE_SI_ME_PC,PI_W_MEN_PC,PI_DE_MEN_PC,DE_PI_ME_PC,target
2018-11,0.029549584282805123,0.2217079523745273,-0.11931132975165382,0.2716267086500953,0.18297689600193598,-0.33159467033394696
2018-12,-0.1813688379669071,-0.15848464068429127,-0.48908010032944876,0.15808259015681922,-0.41257539671250076,-0.9091107252256129
2019-01,-1.0330318611418807,-1.233867189580551,-0.9750016495486178,-1.6338139301342953,-1.1210868420116504,-0.5462795234330946
2019-02,0.23125199140103114,0.2018841240140856,0.3825076504627415,0.5314944098183781,0.37826763088696275,-0.9283730459560582
2019-03,0.9849723924146623,0.9937802874358413,1.6769231452095892,0.8955892337189469,0.9665263989191749,0.4925501955776375
2019-04,-0.7931697260349846,-0.7015292261050796,-1.228560457378597,-0.758544115260997,-0.8320507980286332,-1.2570829714656249
2019-05,0.2655820201107478,0.18399081382246404,0.27129932602525714,0.2467219042489467,0.3568090122553776,0.34449370681470154
2019-06,-0.13108284516225494,-0.33937344757352766,0.10755533912357687,-0.26126063643024655,-0.5217919290438557,0.9913672157589044
2019-07,-0.24111584689427018,0.30507983773513764,-0.3483751650877406,0.30125483802387654,0.5931491192940689,0.2754565392688182
2019-08,-0.9747612657476237,-0.7356834743304888,-0.9045108780215267,-0.8539331212560797,-0.9450138513940894,-0.7120640060802206
2019-09,1.4054941689369005,1.0110758047458932,1.4110075681902867,1.009904984232499,1.1035276740602304,1.3685987267998576
2019-10,-0.12983763253089797,-0.5463501417765881,-0.3436877048836475,-0.360816557366765,-0.23066613595931845,0.38766389671808965
2019-11,-0.1302463177022149,0.2995344369978143,-0.19962330297105063,0.23941163423597553,0.1262688094786569,-0.5826737208941098
2019-12,0.13910255501263724,0.0034819224490511397,-0.04603398192373689,0.38932169707651554,-0.23247766862736924,0.9385421489255242
2020-01,-1.3849620316002071,-1.444300413615026,-1.528857711547191,-1.7572593414954156,-1.1887762297090194,-0.842269747135271
2020-02,0.30995302126987495,0.3566370770226961,0.4154723914155473,0.4364372277471088,0.4066236626501272,0.6365013339975654
2020-03,0.2896024117156881,0.9180243564126276,1.3630423579598745,0.7858543177056381,0.7906689472095031,-0.2643468532570056
2020-04,-2.164681100519171,-2.2894430242818813,-2.042695155538814,-2.0756946460260304,-2.379544661831512,-0.6146804639330375
2020-05,0.9175640779591488,0.43584396479914733,0.24485488369617503,0.449062958188249,0.39297075846786284,-0.08368191662919448
2020-06,1.59076951008647,1.7062877750519012,1.4597436754028685,1.7835591288151478,1.8447748736031397,1.6099664959821414
2020-07,-0.42762831492512726,-0.30082337397418274,-0.37143508583753715,-0.5174537688788559,-0.2591977754811211,-1.292006705224213
2020-08,-1.185366546238163,-1.0791555751283917,-0.888080698191904,-1.0681330691522264,-1.0917539761618889,0.36538606444544053
2020-09,2.194419465987519,1.9514522316392262,1.615388962097685,1.7835591288151478,1.9707165964956355,1.1263213240713987
2020-10,-0.29765803541939984,-0.4634202811124313,-0.04603398192373689,-0.2791345759034051,-0.17168329707020857,-1.5582692817256538
2020-11,0.37967888023421825,0.3817950024434955,0.11133212570670757,0.4536412604416708,0.3708473608928621,-0.0011517141416233286
2020-12,0.2980557418381969,0.3582232614678333,-0.04603398192373689,0.4767517339904684,0.05571776958095577,-0.3734180421285304
2021-01,-1.6515783594821625,-1.8896450228286985,-1.207243566454838,-1.9074889004876814,-1.6417859593208368,-2.4731543791613233
2021-02,0.7768651197206385,1.049953678036792,0.5704369167753436,0.9251806717450071,1.0806247253284431,1.829256618308063
2021-03,1.5609169615124994,1.808036171044993,2.1882934255533475,1.5152687594411616,1.6809932843170448,0.2633684144737482
2021-04,-1.0236348823728192,-1.1856521414271537,-0.9187005787834736,-0.9330937899610394,-1.0944165993935624,-0.8701733382133847
2021-05,-0.1315109891378658,-0.17373224352841848,-0.4152390805951636,-0.3441804106834017,-0.40467391279599285,-0.3954714475175719
2021-06,0.9175640779591488,0.9322285934794805,1.0290912654074595,0.7858543177056381,1.0334846755115599,0.4284656331789491
2021-07,-0.8016990256275478,-0.48833136488028095,-0.7366334470645356,-0.32343750280268746,-0.3780561818305698,-0.521253154651185
2021-08,-1.047858578985016,-0.7461122524145837,-0.7157548585835348,-0.8084372478020061,-0.7697684659028143,2.6402276182501474
2021-09,1.9297515384882107,1.41067663473691,1.2338770268038763,1.1616132725390897,1.1368616687490691,1.54090960790382
2021-10,-0.6120861346851779,-0.6923893568616599,-0.46953394804684384,-0.43648635075258085,-0.5261664952633909,0.3678470023311655
2021-11,0.5032838120346433,0.6462499538668471,0.32317111674769095,0.5002775120322148,0.5988145446004718,-0.1587642683401636
2021-12,0.26398625982930035,0.320612817617327,-0.04603398192373689,0.5149289536324431,0.12501893341593287,-0.42682903849073
2022-01,-1.4686902537660014,-1.5261212772205586,-1.32594499065135,-1.9376698898081375,-1.643661617039085,-0.6878894102153253
2022-02,0.619282286493506,0.5152158669251327,0.6103306379365775,0.749912156808526,0.7710732919430222,-0.7036796021582844
2022-03,1.294182501526882,1.2385556285181158,1.797037870644026,1.1791243694633662,1.3440086357439993,1.289745537240516
2022-04,-1.0898597928750362,-1.2559137453135472,-1.3989600481962143,-1.2875959150310792,-1.4655774758286182,-0.3624500537353302
